Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Chart,1,developer,first,mbfl,muse,elements,passfail,none,avg,0.0360388869290946,0.261775567111312
Chart,1,developer,first,mbfl,ochiai,tests,exact,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,first,sbfl,barinel,tests,,none,,0.000373513726629454,0.0027130906624463
Chart,1,developer,first,sbfl,opt2,tests,,none,,0.000373513726629454,0.0027130906624463
Chart,1,developer,first,sbfl,tarantula,tests,,none,,0.000373513726629454,0.0027130906624463
Chart,1,developer,first,sbfl,jaccard,tests,,none,,0.000373513726629454,0.0027130906624463
Chart,1,developer,first,sbfl,ochiai,tests,,none,,0.000373513726629454,0.0027130906624463
Chart,1,developer,first,sbfl,dstar2,tests,,none,,0.000373513726629454,0.0027130906624463
Chart,1,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.000446141395696292,0.00324063606903308
Chart,1,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.000446141395696292,0.00324063606903308
Chart,1,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.000446141395696292,0.00324063606903308
Chart,1,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.000446141395696292,0.00324063606903308
Chart,1,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.000456516776991554,0.00331599969854548
Chart,1,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.000456516776991554,0.00331599969854548
Chart,1,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.000456516776991554,0.00331599969854548
Chart,1,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.000456516776991554,0.00331599969854548
Chart,1,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.00346537735261771,0.0251714522571407
Chart,1,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.00346537735261771,0.0251714522571407
Chart,1,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.00346537735261771,0.0251714522571407
Chart,1,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.00346537735261771,0.0251714522571407
Chart,1,developer,last,hybrid,barinel,elements,type+message+location,constant,max,0.00351725425909402,0.0255482704047027
Chart,1,developer,median,hybrid,barinel,elements,type+message+location,constant,max,0.00351725425909402,0.0255482704047027
Chart,1,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,0.00351725425909402,0.0255482704047027
Chart,1,developer,first,hybrid,barinel,elements,type+message+location,constant,max,0.00351725425909402,0.0255482704047027
Chart,1,developer,last,mbfl,barinel,elements,type+message+location,none,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,median,mbfl,barinel,elements,type+message+location,none,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,first,mbfl,barinel,elements,type+message+location,none,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,last,mbfl,barinel,elements,type+message+location,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,median,mbfl,barinel,elements,type+message+location,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,mean,mbfl,barinel,elements,type+message+location,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,first,mbfl,barinel,elements,type+message+location,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,0.0369830466269635,0.26863365739694
Chart,1,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,0.0369830466269635,0.26863365739694
Chart,1,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,0.0369830466269635,0.26863365739694
Chart,1,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,0.0369830466269635,0.26863365739694
Chart,1,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,0.000446141395696292,0.00324063606903308
Chart,1,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,0.000446141395696292,0.00324063606903308
Chart,1,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,0.000446141395696292,0.00324063606903308
Chart,1,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,0.000446141395696292,0.00324063606903308
Chart,1,developer,last,hybrid,barinel,tests,type+message+location,mirror,max,0.000456516776991554,0.00331599969854548
Chart,1,developer,median,hybrid,barinel,tests,type+message+location,mirror,max,0.000456516776991554,0.00331599969854548
Chart,1,developer,mean,hybrid,barinel,tests,type+message+location,mirror,max,0.000456516776991554,0.00331599969854548
Chart,1,developer,first,hybrid,barinel,tests,type+message+location,mirror,max,0.000456516776991554,0.00331599969854548
Chart,1,developer,last,hybrid,barinel,tests,type+message+location,constant,avg,0.00346537735261771,0.0251714522571407
Chart,1,developer,median,hybrid,barinel,tests,type+message+location,constant,avg,0.00346537735261771,0.0251714522571407
Chart,1,developer,mean,hybrid,barinel,tests,type+message+location,constant,avg,0.00346537735261771,0.0251714522571407
Chart,1,developer,first,hybrid,barinel,tests,type+message+location,constant,avg,0.00346537735261771,0.0251714522571407
Chart,1,developer,last,hybrid,barinel,tests,type+message+location,constant,max,0.00351725425909402,0.0255482704047027
Chart,1,developer,median,hybrid,barinel,tests,type+message+location,constant,max,0.00351725425909402,0.0255482704047027
Chart,1,developer,mean,hybrid,barinel,tests,type+message+location,constant,max,0.00351725425909402,0.0255482704047027
Chart,1,developer,first,hybrid,barinel,tests,type+message+location,constant,max,0.00351725425909402,0.0255482704047027
Chart,1,developer,last,mbfl,barinel,tests,type+message+location,none,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,median,mbfl,barinel,tests,type+message+location,none,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,mean,mbfl,barinel,tests,type+message+location,none,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,first,mbfl,barinel,tests,type+message+location,none,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,last,mbfl,barinel,tests,type+message+location,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,median,mbfl,barinel,tests,type+message+location,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,mean,mbfl,barinel,tests,type+message+location,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,first,mbfl,barinel,tests,type+message+location,none,max,0.0369830466269635,0.26863365739694
Chart,1,developer,last,hybrid,barinel,tests,type+message+location,numerator,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,median,hybrid,barinel,tests,type+message+location,numerator,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,mean,hybrid,barinel,tests,type+message+location,numerator,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,first,hybrid,barinel,tests,type+message+location,numerator,avg,0.0369830466269635,0.26863365739694
Chart,1,developer,last,hybrid,barinel,tests,type+message+location,numerator,max,0.0369830466269635,0.26863365739694
Chart,1,developer,median,hybrid,barinel,tests,type+message+location,numerator,max,0.0369830466269635,0.26863365739694
Chart,1,developer,mean,hybrid,barinel,tests,type+message+location,numerator,max,0.0369830466269635,0.26863365739694
Chart,1,developer,first,hybrid,barinel,tests,type+message+location,numerator,max,0.0369830466269635,0.26863365739694
Chart,1,developer,last,hybrid,muse,elements,type+message+location,mirror,avg,0.000736652071963645,0.00535081769538021
Chart,1,developer,median,hybrid,muse,elements,type+message+location,mirror,avg,0.000736652071963645,0.00535081769538021
Chart,1,developer,mean,hybrid,muse,elements,type+message+location,mirror,avg,0.000736652071963645,0.00535081769538021
Chart,1,developer,first,hybrid,muse,elements,type+message+location,mirror,avg,0.000736652071963645,0.00535081769538021
Chart,1,developer,last,hybrid,muse,elements,type+message+location,mirror,max,0.00099603660434521,0.00723490843319014
Chart,1,developer,median,hybrid,muse,elements,type+message+location,mirror,max,0.00099603660434521,0.00723490843319014
Chart,1,developer,mean,hybrid,muse,elements,type+message+location,mirror,max,0.00099603660434521,0.00723490843319014
Chart,1,developer,first,hybrid,muse,elements,type+message+location,mirror,max,0.00099603660434521,0.00723490843319014
Chart,1,developer,last,hybrid,muse,elements,type+message+location,constant,avg,0.0024693407482725,0.0179365438239506
Chart,1,developer,median,hybrid,muse,elements,type+message+location,constant,avg,0.0024693407482725,0.0179365438239506
Chart,1,developer,mean,hybrid,muse,elements,type+message+location,constant,avg,0.0024693407482725,0.0179365438239506
Chart,1,developer,first,hybrid,muse,elements,type+message+location,constant,avg,0.0024693407482725,0.0179365438239506
Chart,1,developer,last,hybrid,muse,elements,type+message+location,constant,max,0.00295698366914984,0.0214786344110332
Chart,1,developer,median,hybrid,muse,elements,type+message+location,constant,max,0.00295698366914984,0.0214786344110332
Chart,1,developer,mean,hybrid,muse,elements,type+message+location,constant,max,0.00295698366914984,0.0214786344110332
Chart,1,developer,first,hybrid,muse,elements,type+message+location,constant,max,0.00295698366914984,0.0214786344110332
Chart,1,developer,last,mbfl,muse,elements,type+message+location,none,avg,0.0359766346413231,0.261323385334238
Chart,1,developer,median,mbfl,muse,elements,type+message+location,none,avg,0.0359766346413231,0.261323385334238
Chart,1,developer,mean,mbfl,muse,elements,type+message+location,none,avg,0.0359766346413231,0.261323385334238
Chart,1,developer,first,mbfl,muse,elements,type+message+location,none,avg,0.0359766346413231,0.261323385334238
Chart,1,developer,last,mbfl,muse,elements,type+message+location,none,max,0.0364227760370194,0.264564021403271
Chart,1,developer,median,mbfl,muse,elements,type+message+location,none,max,0.0364227760370194,0.264564021403271
Chart,1,developer,mean,mbfl,muse,elements,type+message+location,none,max,0.0364227760370194,0.264564021403271
Chart,1,developer,first,mbfl,muse,elements,type+message+location,none,max,0.0364227760370194,0.264564021403271
Chart,1,developer,last,hybrid,muse,elements,type+message+location,numerator,avg,0.0359766346413231,0.261323385334238
