Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Chart,3,developer,first,mbfl,muse,elements,passfail,none,avg,0.00353001027855934,0.216422660725652
Chart,3,developer,first,mbfl,ochiai,tests,exact,none,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,first,sbfl,barinel,tests,,none,,6.74854906195168e-05,0.00413749204328453
Chart,3,developer,first,sbfl,opt2,tests,,none,,6.74854906195168e-05,0.00413749204328453
Chart,3,developer,first,sbfl,tarantula,tests,,none,,6.74854906195168e-05,0.00413749204328453
Chart,3,developer,first,sbfl,jaccard,tests,,none,,6.74854906195168e-05,0.00413749204328453
Chart,3,developer,first,sbfl,ochiai,tests,,none,,6.74854906195168e-05,0.00413749204328453
Chart,3,developer,first,sbfl,dstar2,tests,,none,,6.74854906195168e-05,0.00413749204328453
Chart,3,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,3.11471495167001e-05,0.00190961171228517
Chart,3,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,3.11471495167001e-05,0.00190961171228517
Chart,3,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,3.11471495167001e-05,0.00190961171228517
Chart,3,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,3.11471495167001e-05,0.00190961171228517
Chart,3,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,last,hybrid,barinel,elements,type+message+location,constant,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,median,hybrid,barinel,elements,type+message+location,constant,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,first,hybrid,barinel,elements,type+message+location,constant,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,last,mbfl,barinel,elements,type+message+location,none,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,median,mbfl,barinel,elements,type+message+location,none,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,first,mbfl,barinel,elements,type+message+location,none,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,last,mbfl,barinel,elements,type+message+location,none,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,median,mbfl,barinel,elements,type+message+location,none,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,mean,mbfl,barinel,elements,type+message+location,none,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,first,mbfl,barinel,elements,type+message+location,none,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,7.26766822056335e-05,0.00445576066199873
Chart,3,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,3.11471495167001e-05,0.00190961171228517
Chart,3,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,3.11471495167001e-05,0.00190961171228517
Chart,3,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,3.11471495167001e-05,0.00190961171228517
Chart,3,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,3.11471495167001e-05,0.00190961171228517
Chart,3,developer,last,hybrid,barinel,tests,type+message+location,mirror,max,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,median,hybrid,barinel,tests,type+message+location,mirror,max,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,mean,hybrid,barinel,tests,type+message+location,mirror,max,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,first,hybrid,barinel,tests,type+message+location,mirror,max,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,last,hybrid,barinel,tests,type+message+location,constant,avg,4.67207242750501e-05,0.00286441756842775
Chart,3,developer,median,hybrid,barinel,tests,type+message+location,constant,avg,4.67207242750501e-05,0.00286441756842775
