Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Math,11,developer,first,mbfl,muse,elements,passfail,none,avg,0.0837738761335134,0.34732295221843
Math,11,developer,first,mbfl,ochiai,tests,exact,none,max,0.00251463116599138,0.0104255546075085
Math,11,developer,first,sbfl,barinel,tests,,none,,0.00122837481510065,0.00509279010238908
Math,11,developer,first,sbfl,opt2,tests,,none,,0.00122837481510065,0.00509279010238908
Math,11,developer,first,sbfl,tarantula,tests,,none,,0.00122837481510065,0.00509279010238908
Math,11,developer,first,sbfl,jaccard,tests,,none,,0.00122837481510065,0.00509279010238908
Math,11,developer,first,sbfl,ochiai,tests,,none,,0.00122837481510065,0.00509279010238908
Math,11,developer,first,sbfl,dstar2,tests,,none,,0.00122837481510065,0.00509279010238908
Math,11,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.00382018136214548,0.0158383105802048
Math,11,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.00382018136214548,0.0158383105802048
Math,11,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.00382018136214548,0.0158383105802048
Math,11,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.00382018136214548,0.0158383105802048
Math,11,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.000630265611936459,0.00261305460750853
Math,11,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.000630265611936459,0.00261305460750853
Math,11,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.000630265611936459,0.00261305460750853
Math,11,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.000630265611936459,0.00261305460750853
Math,11,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.00517075053058075,0.0214377133105802
Math,11,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.00517075053058075,0.0214377133105802
Math,11,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.00517075053058075,0.0214377133105802
Math,11,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.00517075053058075,0.0214377133105802
Math,11,developer,last,hybrid,barinel,elements,type+message+location,constant,max,0.00251463116599138,0.0104255546075085
Math,11,developer,median,hybrid,barinel,elements,type+message+location,constant,max,0.00251463116599138,0.0104255546075085
Math,11,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,0.00251463116599138,0.0104255546075085
Math,11,developer,first,hybrid,barinel,elements,type+message+location,constant,max,0.00251463116599138,0.0104255546075085
Math,11,developer,last,mbfl,barinel,elements,type+message+location,none,avg,0.00518361309408965,0.0214910409556314
Math,11,developer,median,mbfl,barinel,elements,type+message+location,none,avg,0.00518361309408965,0.0214910409556314
Math,11,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,0.00518361309408965,0.0214910409556314
Math,11,developer,first,mbfl,barinel,elements,type+message+location,none,avg,0.00518361309408965,0.0214910409556314
Math,11,developer,last,mbfl,barinel,elements,type+message+location,none,max,0.00251463116599138,0.0104255546075085
Math,11,developer,median,mbfl,barinel,elements,type+message+location,none,max,0.00251463116599138,0.0104255546075085
Math,11,developer,mean,mbfl,barinel,elements,type+message+location,none,max,0.00251463116599138,0.0104255546075085
Math,11,developer,first,mbfl,barinel,elements,type+message+location,none,max,0.00251463116599138,0.0104255546075085
Math,11,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,0.00518361309408965,0.0214910409556314
Math,11,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,0.00518361309408965,0.0214910409556314
Math,11,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,0.00518361309408965,0.0214910409556314
Math,11,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,0.00518361309408965,0.0214910409556314
Math,11,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,0.00251463116599138,0.0104255546075085
Math,11,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,0.00251463116599138,0.0104255546075085
Math,11,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,0.00251463116599138,0.0104255546075085
Math,11,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,0.00251463116599138,0.0104255546075085
Math,11,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,0.00382018136214548,0.0158383105802048
Math,11,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,0.00382018136214548,0.0158383105802048
Math,11,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,0.00382018136214548,0.0158383105802048
Math,11,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,0.00382018136214548,0.0158383105802048
