Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Math,7,developer,first,mbfl,muse,elements,passfail,none,avg,8.05841732683701e-05,0.000573040641805519
Math,7,developer,first,mbfl,ochiai,tests,exact,none,max,0.00178524937702235,0.0126950542184607
Math,7,developer,first,sbfl,barinel,tests,,none,,0.000508300169846642,0.00361456404831173
Math,7,developer,first,sbfl,opt2,tests,,none,,0.000508300169846642,0.00361456404831173
Math,7,developer,first,sbfl,tarantula,tests,,none,,0.000508300169846642,0.00361456404831173
Math,7,developer,first,sbfl,jaccard,tests,,none,,0.000508300169846642,0.00361456404831173
Math,7,developer,first,sbfl,ochiai,tests,,none,,0.000508300169846642,0.00361456404831173
Math,7,developer,first,sbfl,dstar2,tests,,none,,0.000508300169846642,0.00361456404831173
Math,7,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.101288107015782,0.720268006700168
Math,7,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.0796529783772689,0.566418838833544
Math,7,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.000173565911654951,0.00123424138235035
Math,7,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.101288107015782,0.720268006700168
Math,7,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.0800304153597567,0.56910282406183
Math,7,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.00114057599087539,0.00811072908401657
Math,7,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.101288107015782,0.720268006700168
Math,7,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.0979256118542763,0.696357028808761
Math,7,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.000198361041891373,0.00141056157982897
Math,7,developer,last,hybrid,barinel,elements,type+message+location,constant,max,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,elements,type+message+location,constant,max,0.101288107015782,0.720268006700168
Math,7,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,0.0981480792727864,0.697939012802805
Math,7,developer,first,hybrid,barinel,elements,type+message+location,constant,max,0.00171706276887219,0.0122101736753945
Math,7,developer,last,mbfl,barinel,elements,type+message+location,none,avg,0.127013054636069,0.903200211584237
Math,7,developer,median,mbfl,barinel,elements,type+message+location,none,avg,0.0976122289582326,0.694128537423962
Math,7,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,0.0998554994910111,0.710080617512514
Math,7,developer,first,mbfl,barinel,elements,type+message+location,none,avg,0.000198361041891373,0.00141056157982897
Math,7,developer,last,mbfl,barinel,elements,type+message+location,none,max,0.127013054636069,0.903200211584237
Math,7,developer,median,mbfl,barinel,elements,type+message+location,none,max,0.0976122289582326,0.694128537423962
Math,7,developer,mean,mbfl,barinel,elements,type+message+location,none,max,0.100024244127342,0.711280574412021
Math,7,developer,first,mbfl,barinel,elements,type+message+location,none,max,0.00171706276887219,0.0122101736753945
Math,7,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,0.0976122289582326,0.694128537423962
Math,7,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,0.0998554994910111,0.710080617512514
Math,7,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,0.000198361041891373,0.00141056157982897
Math,7,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,0.0976122289582326,0.694128537423962
Math,7,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,0.100024244127342,0.711280574412021
Math,7,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,0.00171706276887219,0.0122101736753945
Math,7,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,0.101288107015782,0.720268006700168
Math,7,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,0.0796529783772689,0.566418838833544
Math,7,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,0.000173565911654951,0.00123424138235035
Math,7,developer,last,hybrid,barinel,tests,type+message+location,mirror,max,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,tests,type+message+location,mirror,max,0.101288107015782,0.720268006700168
Math,7,developer,mean,hybrid,barinel,tests,type+message+location,mirror,max,0.0800304153597567,0.56910282406183
Math,7,developer,first,hybrid,barinel,tests,type+message+location,mirror,max,0.00114057599087539,0.00811072908401657
Math,7,developer,last,hybrid,barinel,tests,type+message+location,constant,avg,0.127013054636069,0.903200211584237
Math,7,developer,median,hybrid,barinel,tests,type+message+location,constant,avg,0.101288107015782,0.720268006700168
Math,7,developer,mean,hybrid,barinel,tests,type+message+location,constant,avg,0.0979256118542763,0.696357028808761
Math,7,developer,first,hybrid,barinel,tests,type+message+location,constant,avg,0.000198361041891373,0.00141056157982897
