Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Math,5,developer,first,mbfl,muse,elements,passfail,none,avg,0.00147797812592374,0.228136882129278
Math,5,developer,first,mbfl,ochiai,tests,exact,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,sbfl,barinel,tests,,none,,1.84747265740467e-05,0.00285171102661597
Math,5,developer,first,sbfl,opt2,tests,,none,,1.84747265740467e-05,0.00285171102661597
Math,5,developer,first,sbfl,tarantula,tests,,none,,1.84747265740467e-05,0.00285171102661597
Math,5,developer,first,sbfl,jaccard,tests,,none,,1.84747265740467e-05,0.00285171102661597
Math,5,developer,first,sbfl,ochiai,tests,,none,,1.84747265740467e-05,0.00285171102661597
Math,5,developer,first,sbfl,dstar2,tests,,none,,1.84747265740467e-05,0.00285171102661597
Math,5,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,elements,type+message+location,constant,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,elements,type+message+location,constant,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,elements,type+message+location,constant,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,mbfl,barinel,elements,type+message+location,none,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,mbfl,barinel,elements,type+message+location,none,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,mbfl,barinel,elements,type+message+location,none,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,mbfl,barinel,elements,type+message+location,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,mbfl,barinel,elements,type+message+location,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,mbfl,barinel,elements,type+message+location,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,mbfl,barinel,elements,type+message+location,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,tests,type+message+location,mirror,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,tests,type+message+location,mirror,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,tests,type+message+location,mirror,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,tests,type+message+location,mirror,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,tests,type+message+location,constant,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,tests,type+message+location,constant,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,tests,type+message+location,constant,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,tests,type+message+location,constant,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,tests,type+message+location,constant,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,tests,type+message+location,constant,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,tests,type+message+location,constant,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,tests,type+message+location,constant,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,mbfl,barinel,tests,type+message+location,none,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,mbfl,barinel,tests,type+message+location,none,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,mbfl,barinel,tests,type+message+location,none,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,mbfl,barinel,tests,type+message+location,none,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,mbfl,barinel,tests,type+message+location,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,mbfl,barinel,tests,type+message+location,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,mbfl,barinel,tests,type+message+location,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,mbfl,barinel,tests,type+message+location,none,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,tests,type+message+location,numerator,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,tests,type+message+location,numerator,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,tests,type+message+location,numerator,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,tests,type+message+location,numerator,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,barinel,tests,type+message+location,numerator,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,barinel,tests,type+message+location,numerator,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,barinel,tests,type+message+location,numerator,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,barinel,tests,type+message+location,numerator,max,1.23164843826978e-05,0.00190114068441065
Math,5,developer,last,hybrid,muse,elements,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,median,hybrid,muse,elements,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,mean,hybrid,muse,elements,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
Math,5,developer,first,hybrid,muse,elements,type+message+location,mirror,avg,1.23164843826978e-05,0.00190114068441065
