Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Lang,8,developer,first,mbfl,muse,elements,passfail,none,avg,0.0141678534597063,0.209209572153735
Lang,8,developer,first,mbfl,ochiai,tests,exact,none,max,0.000417423758778176,0.00616388687454677
Lang,8,developer,first,sbfl,barinel,tests,,none,,0.000417423758778176,0.00616388687454677
Lang,8,developer,first,sbfl,opt2,tests,,none,,0.000417423758778176,0.00616388687454677
Lang,8,developer,first,sbfl,tarantula,tests,,none,,0.000417423758778176,0.00616388687454677
Lang,8,developer,first,sbfl,jaccard,tests,,none,,0.000417423758778176,0.00616388687454677
Lang,8,developer,first,sbfl,ochiai,tests,,none,,0.000417423758778176,0.00616388687454677
Lang,8,developer,first,sbfl,dstar2,tests,,none,,0.000417423758778176,0.00616388687454677
Lang,8,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.0480037322594902,0.708846990572879
Lang,8,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.00108039090507293,0.0159535895576505
Lang,8,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.0165905482165365,0.244984288131496
Lang,8,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.000687521485046408,0.0101522842639594
Lang,8,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.0480037322594902,0.708846990572879
Lang,8,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.00108039090507293,0.0159535895576505
Lang,8,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.0164514069636105,0.242929659173314
Lang,8,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.000270097726268232,0.00398839738941262
Lang,8,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.0480037322594902,0.708846990572879
Lang,8,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.00100672788881795,0.0148658448150834
Lang,8,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.0165659938777849,0.244621706550641
Lang,8,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.000687521485046408,0.0101522842639594
