Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Lang,9,developer,first,mbfl,muse,elements,passfail,none,avg,0.0258405520481574,0.364389233954451
Lang,9,developer,first,mbfl,ochiai,tests,exact,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,first,sbfl,barinel,tests,,none,,0.00325453922576225,0.0458937198067633
Lang,9,developer,first,sbfl,opt2,tests,,none,,0.0024714921939999,0.0348516218081435
Lang,9,developer,first,sbfl,tarantula,tests,,none,,0.00325453922576225,0.0458937198067633
Lang,9,developer,first,sbfl,jaccard,tests,,none,,0.00325453922576225,0.0458937198067633
Lang,9,developer,first,sbfl,ochiai,tests,,none,,0.00281407527039593,0.0396825396825397
Lang,9,developer,first,sbfl,dstar2,tests,,none,,0.00281407527039593,0.0396825396825397
Lang,9,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.000880927910732638,0.0124223602484472
Lang,9,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.000880927910732638,0.0124223602484472
Lang,9,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.000880927910732638,0.0124223602484472
Lang,9,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.000880927910732638,0.0124223602484472
Lang,9,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.000929868350217785,0.0131124913733609
Lang,9,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.000929868350217785,0.0131124913733609
Lang,9,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.000929868350217785,0.0131124913733609
Lang,9,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.000929868350217785,0.0131124913733609
Lang,9,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,last,hybrid,barinel,elements,type+message+location,constant,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,median,hybrid,barinel,elements,type+message+location,constant,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,first,hybrid,barinel,elements,type+message+location,constant,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,last,mbfl,barinel,elements,type+message+location,none,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,median,mbfl,barinel,elements,type+message+location,none,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,first,mbfl,barinel,elements,type+message+location,none,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,last,mbfl,barinel,elements,type+message+location,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,median,mbfl,barinel,elements,type+message+location,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,mean,mbfl,barinel,elements,type+message+location,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,first,mbfl,barinel,elements,type+message+location,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,0.000489404394851466,0.00690131124913734
Lang,9,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,0.000489404394851466,0.00690131124913734
Lang,9,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,0.000489404394851466,0.00690131124913734
Lang,9,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,0.000489404394851466,0.00690131124913734
Lang,9,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,0.000293642636910879,0.0041407867494824
Lang,9,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,0.000293642636910879,0.0041407867494824
Lang,9,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,0.000293642636910879,0.0041407867494824
Lang,9,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,0.000293642636910879,0.0041407867494824
Lang,9,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,0.000880927910732638,0.0124223602484472
Lang,9,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,0.000880927910732638,0.0124223602484472
Lang,9,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,0.000880927910732638,0.0124223602484472
Lang,9,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,0.000880927910732638,0.0124223602484472
Lang,9,developer,last,hybrid,barinel,tests,type+message+location,mirror,max,0.000929868350217785,0.0131124913733609
Lang,9,developer,median,hybrid,barinel,tests,type+message+location,mirror,max,0.000929868350217785,0.0131124913733609
Lang,9,developer,mean,hybrid,barinel,tests,type+message+location,mirror,max,0.000929868350217785,0.0131124913733609
Lang,9,developer,first,hybrid,barinel,tests,type+message+location,mirror,max,0.000929868350217785,0.0131124913733609
Lang,9,developer,last,hybrid,barinel,tests,type+message+location,constant,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,median,hybrid,barinel,tests,type+message+location,constant,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,mean,hybrid,barinel,tests,type+message+location,constant,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,first,hybrid,barinel,tests,type+message+location,constant,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,last,hybrid,barinel,tests,type+message+location,constant,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,median,hybrid,barinel,tests,type+message+location,constant,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,mean,hybrid,barinel,tests,type+message+location,constant,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,first,hybrid,barinel,tests,type+message+location,constant,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,last,mbfl,barinel,tests,type+message+location,none,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,median,mbfl,barinel,tests,type+message+location,none,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,mean,mbfl,barinel,tests,type+message+location,none,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,first,mbfl,barinel,tests,type+message+location,none,avg,0.000293642636910879,0.0041407867494824
Lang,9,developer,last,mbfl,barinel,tests,type+message+location,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,median,mbfl,barinel,tests,type+message+location,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,mean,mbfl,barinel,tests,type+message+location,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,first,mbfl,barinel,tests,type+message+location,none,max,0.000244702197425733,0.00345065562456867
Lang,9,developer,last,hybrid,barinel,tests,type+message+location,numerator,avg,0.000489404394851466,0.00690131124913734
Lang,9,developer,median,hybrid,barinel,tests,type+message+location,numerator,avg,0.000489404394851466,0.00690131124913734
Lang,9,developer,mean,hybrid,barinel,tests,type+message+location,numerator,avg,0.000489404394851466,0.00690131124913734
Lang,9,developer,first,hybrid,barinel,tests,type+message+location,numerator,avg,0.000489404394851466,0.00690131124913734
Lang,9,developer,last,hybrid,barinel,tests,type+message+location,numerator,max,0.000293642636910879,0.0041407867494824
Lang,9,developer,median,hybrid,barinel,tests,type+message+location,numerator,max,0.000293642636910879,0.0041407867494824
Lang,9,developer,mean,hybrid,barinel,tests,type+message+location,numerator,max,0.000293642636910879,0.0041407867494824
Lang,9,developer,first,hybrid,barinel,tests,type+message+location,numerator,max,0.000293642636910879,0.0041407867494824
Lang,9,developer,last,hybrid,muse,elements,type+message+location,mirror,avg,0.000685166152792052,0.00966183574879227
Lang,9,developer,median,hybrid,muse,elements,type+message+location,mirror,avg,0.000685166152792052,0.00966183574879227
Lang,9,developer,mean,hybrid,muse,elements,type+message+location,mirror,avg,0.000685166152792052,0.00966183574879227
Lang,9,developer,first,hybrid,muse,elements,type+message+location,mirror,avg,0.000685166152792052,0.00966183574879227
Lang,9,developer,last,hybrid,muse,elements,type+message+location,mirror,max,0.000685166152792052,0.00966183574879227
Lang,9,developer,median,hybrid,muse,elements,type+message+location,mirror,max,0.000685166152792052,0.00966183574879227
Lang,9,developer,mean,hybrid,muse,elements,type+message+location,mirror,max,0.000685166152792052,0.00966183574879227
Lang,9,developer,first,hybrid,muse,elements,type+message+location,mirror,max,0.000685166152792052,0.00966183574879227
Lang,9,developer,last,hybrid,muse,elements,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,hybrid,muse,elements,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,hybrid,muse,elements,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,hybrid,muse,elements,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,hybrid,muse,elements,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,hybrid,muse,elements,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,hybrid,muse,elements,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,hybrid,muse,elements,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,last,mbfl,muse,elements,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,mbfl,muse,elements,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,mbfl,muse,elements,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,mbfl,muse,elements,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,mbfl,muse,elements,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,mbfl,muse,elements,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,mbfl,muse,elements,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,mbfl,muse,elements,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,last,hybrid,muse,elements,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,hybrid,muse,elements,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,hybrid,muse,elements,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,hybrid,muse,elements,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,hybrid,muse,elements,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,hybrid,muse,elements,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,hybrid,muse,elements,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,hybrid,muse,elements,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,last,hybrid,muse,tests,type+message+location,mirror,avg,0.000685166152792052,0.00966183574879227
Lang,9,developer,median,hybrid,muse,tests,type+message+location,mirror,avg,0.000685166152792052,0.00966183574879227
Lang,9,developer,mean,hybrid,muse,tests,type+message+location,mirror,avg,0.000685166152792052,0.00966183574879227
Lang,9,developer,first,hybrid,muse,tests,type+message+location,mirror,avg,0.000685166152792052,0.00966183574879227
Lang,9,developer,last,hybrid,muse,tests,type+message+location,mirror,max,0.000734106592277199,0.010351966873706
Lang,9,developer,median,hybrid,muse,tests,type+message+location,mirror,max,0.000734106592277199,0.010351966873706
Lang,9,developer,mean,hybrid,muse,tests,type+message+location,mirror,max,0.000734106592277199,0.010351966873706
Lang,9,developer,first,hybrid,muse,tests,type+message+location,mirror,max,0.000734106592277199,0.010351966873706
Lang,9,developer,last,hybrid,muse,tests,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,hybrid,muse,tests,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,hybrid,muse,tests,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,hybrid,muse,tests,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,hybrid,muse,tests,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,hybrid,muse,tests,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,hybrid,muse,tests,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,hybrid,muse,tests,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,last,mbfl,muse,tests,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,mbfl,muse,tests,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,mbfl,muse,tests,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,mbfl,muse,tests,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,mbfl,muse,tests,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,mbfl,muse,tests,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,mbfl,muse,tests,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,mbfl,muse,tests,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,last,hybrid,muse,tests,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,hybrid,muse,tests,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,hybrid,muse,tests,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,hybrid,muse,tests,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,hybrid,muse,tests,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,hybrid,muse,tests,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,hybrid,muse,tests,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,hybrid,muse,tests,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,last,hybrid,opt2,elements,type+message+location,mirror,avg,0.000636225713306906,0.00897170462387854
Lang,9,developer,median,hybrid,opt2,elements,type+message+location,mirror,avg,0.000636225713306906,0.00897170462387854
Lang,9,developer,mean,hybrid,opt2,elements,type+message+location,mirror,avg,0.000636225713306906,0.00897170462387854
Lang,9,developer,first,hybrid,opt2,elements,type+message+location,mirror,avg,0.000636225713306906,0.00897170462387854
Lang,9,developer,last,hybrid,opt2,elements,type+message+location,mirror,max,0.000685166152792052,0.00966183574879227
Lang,9,developer,median,hybrid,opt2,elements,type+message+location,mirror,max,0.000685166152792052,0.00966183574879227
Lang,9,developer,mean,hybrid,opt2,elements,type+message+location,mirror,max,0.000685166152792052,0.00966183574879227
Lang,9,developer,first,hybrid,opt2,elements,type+message+location,mirror,max,0.000685166152792052,0.00966183574879227
Lang,9,developer,last,hybrid,opt2,elements,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,hybrid,opt2,elements,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,hybrid,opt2,elements,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,hybrid,opt2,elements,type+message+location,constant,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,hybrid,opt2,elements,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,hybrid,opt2,elements,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,hybrid,opt2,elements,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,hybrid,opt2,elements,type+message+location,constant,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,last,mbfl,opt2,elements,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,mbfl,opt2,elements,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,mbfl,opt2,elements,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,mbfl,opt2,elements,type+message+location,none,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,mbfl,opt2,elements,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,mbfl,opt2,elements,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,mbfl,opt2,elements,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,mbfl,opt2,elements,type+message+location,none,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,last,hybrid,opt2,elements,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,median,hybrid,opt2,elements,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,mean,hybrid,opt2,elements,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,first,hybrid,opt2,elements,type+message+location,numerator,avg,0.000391523515881173,0.00552104899930987
Lang,9,developer,last,hybrid,opt2,elements,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,median,hybrid,opt2,elements,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,mean,hybrid,opt2,elements,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
Lang,9,developer,first,hybrid,opt2,elements,type+message+location,numerator,max,9.78808789702931e-05,0.00138026224982747
