Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Lang,5,developer,first,mbfl,muse,elements,passfail,none,avg,0.00185623462805699,0.285714285714286
Lang,5,developer,first,mbfl,ochiai,tests,exact,none,max,4.64058657014247e-05,0.00714285714285714
Lang,5,developer,first,sbfl,barinel,tests,,none,,4.64058657014247e-05,0.00714285714285714
Lang,5,developer,first,sbfl,opt2,tests,,none,,4.64058657014247e-05,0.00714285714285714
Lang,5,developer,first,sbfl,tarantula,tests,,none,,4.64058657014247e-05,0.00714285714285714
Lang,5,developer,first,sbfl,jaccard,tests,,none,,4.64058657014247e-05,0.00714285714285714
Lang,5,developer,first,sbfl,ochiai,tests,,none,,4.64058657014247e-05,0.00714285714285714
Lang,5,developer,first,sbfl,dstar2,tests,,none,,4.64058657014247e-05,0.00714285714285714
Lang,5,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,hybrid,barinel,elements,type+message+location,constant,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,hybrid,barinel,elements,type+message+location,constant,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,hybrid,barinel,elements,type+message+location,constant,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,mbfl,barinel,elements,type+message+location,none,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,mbfl,barinel,elements,type+message+location,none,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,mbfl,barinel,elements,type+message+location,none,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,mbfl,barinel,elements,type+message+location,none,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,mbfl,barinel,elements,type+message+location,none,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,mbfl,barinel,elements,type+message+location,none,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,mbfl,barinel,elements,type+message+location,none,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,hybrid,barinel,tests,type+message+location,mirror,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,median,hybrid,barinel,tests,type+message+location,mirror,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,mean,hybrid,barinel,tests,type+message+location,mirror,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,first,hybrid,barinel,tests,type+message+location,mirror,max,6.9608798552137e-05,0.0107142857142857
Lang,5,developer,last,hybrid,barinel,tests,type+message+location,constant,avg,6.9608798552137e-05,0.0107142857142857
