Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Lang,7,developer,first,mbfl,muse,elements,passfail,none,avg,4.65224470807164e-05,0.000329055610398157
Lang,7,developer,first,mbfl,ochiai,tests,exact,none,max,0.000441963247266806,0.00312602829878249
Lang,7,developer,first,sbfl,barinel,tests,,none,,0.00386136310769946,0.0273116156630471
Lang,7,developer,first,sbfl,opt2,tests,,none,,0.00386136310769946,0.0273116156630471
Lang,7,developer,first,sbfl,tarantula,tests,,none,,0.00386136310769946,0.0273116156630471
Lang,7,developer,first,sbfl,jaccard,tests,,none,,0.00386136310769946,0.0273116156630471
Lang,7,developer,first,sbfl,ochiai,tests,,none,,0.00386136310769946,0.0273116156630471
Lang,7,developer,first,sbfl,dstar2,tests,,none,,0.00386136310769946,0.0273116156630471
Lang,7,developer,last,hybrid,barinel,elements,type+message+location,mirror,avg,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,elements,type+message+location,mirror,avg,0.00153524075366364,0.0108588351431392
Lang,7,developer,mean,hybrid,barinel,elements,type+message+location,mirror,avg,0.0235403582228425,0.166502138861468
Lang,7,developer,first,hybrid,barinel,elements,type+message+location,mirror,avg,0.0012793672947197,0.00904902928594933
Lang,7,developer,last,hybrid,barinel,elements,type+message+location,mirror,max,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,elements,type+message+location,mirror,max,0.00193068155384973,0.0136558078315235
Lang,7,developer,mean,hybrid,barinel,elements,type+message+location,mirror,max,0.0234659223075134,0.165975649884831
Lang,7,developer,first,hybrid,barinel,elements,type+message+location,mirror,max,0.000697836706210747,0.00493583415597236
Lang,7,developer,last,hybrid,barinel,elements,type+message+location,constant,avg,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,elements,type+message+location,constant,avg,0.00225633868341475,0.0159591971043106
Lang,7,developer,mean,hybrid,barinel,elements,type+message+location,constant,avg,0.0236520120958362,0.167291872326423
Lang,7,developer,first,hybrid,barinel,elements,type+message+location,constant,avg,0.000837404047452896,0.00592300098716683
Lang,7,developer,last,hybrid,barinel,elements,type+message+location,constant,max,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,elements,type+message+location,constant,max,0.00144219585950221,0.0102007239223429
Lang,7,developer,mean,hybrid,barinel,elements,type+message+location,constant,max,0.0231681786461968,0.163869693978282
Lang,7,developer,first,hybrid,barinel,elements,type+message+location,constant,max,0.000441963247266806,0.00312602829878249
Lang,7,developer,last,mbfl,barinel,elements,type+message+location,none,avg,0.112072575017446,0.792694965449161
Lang,7,developer,median,mbfl,barinel,elements,type+message+location,none,avg,0.000860665270993254,0.00608752879236591
Lang,7,developer,mean,mbfl,barinel,elements,type+message+location,none,avg,0.0231030472202838,0.163409016123725
Lang,7,developer,first,mbfl,barinel,elements,type+message+location,none,avg,0.000860665270993254,0.00608752879236591
Lang,7,developer,last,mbfl,barinel,elements,type+message+location,none,max,0.112072575017446,0.792694965449161
Lang,7,developer,median,mbfl,barinel,elements,type+message+location,none,max,0.00144219585950221,0.0102007239223429
Lang,7,developer,mean,mbfl,barinel,elements,type+message+location,none,max,0.0231681786461968,0.163869693978282
Lang,7,developer,first,mbfl,barinel,elements,type+message+location,none,max,0.000441963247266806,0.00312602829878249
Lang,7,developer,last,hybrid,barinel,elements,type+message+location,numerator,avg,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,elements,type+message+location,numerator,avg,0.000860665270993254,0.00608752879236591
Lang,7,developer,mean,hybrid,barinel,elements,type+message+location,numerator,avg,0.0231030472202838,0.163409016123725
Lang,7,developer,first,hybrid,barinel,elements,type+message+location,numerator,avg,0.000860665270993254,0.00608752879236591
Lang,7,developer,last,hybrid,barinel,elements,type+message+location,numerator,max,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,elements,type+message+location,numerator,max,0.00144219585950221,0.0102007239223429
Lang,7,developer,mean,hybrid,barinel,elements,type+message+location,numerator,max,0.0231681786461968,0.163869693978282
Lang,7,developer,first,hybrid,barinel,elements,type+message+location,numerator,max,0.000441963247266806,0.00312602829878249
Lang,7,developer,last,hybrid,barinel,tests,type+message+location,mirror,avg,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,tests,type+message+location,mirror,avg,0.00153524075366364,0.0108588351431392
Lang,7,developer,mean,hybrid,barinel,tests,type+message+location,mirror,avg,0.0235403582228425,0.166502138861468
Lang,7,developer,first,hybrid,barinel,tests,type+message+location,mirror,avg,0.0012793672947197,0.00904902928594933
Lang,7,developer,last,hybrid,barinel,tests,type+message+location,mirror,max,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,tests,type+message+location,mirror,max,0.00193068155384973,0.0136558078315235
Lang,7,developer,mean,hybrid,barinel,tests,type+message+location,mirror,max,0.0234659223075134,0.165975649884831
Lang,7,developer,first,hybrid,barinel,tests,type+message+location,mirror,max,0.000697836706210747,0.00493583415597236
Lang,7,developer,last,hybrid,barinel,tests,type+message+location,constant,avg,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,tests,type+message+location,constant,avg,0.00225633868341475,0.0159591971043106
Lang,7,developer,mean,hybrid,barinel,tests,type+message+location,constant,avg,0.0236520120958362,0.167291872326423
Lang,7,developer,first,hybrid,barinel,tests,type+message+location,constant,avg,0.000837404047452896,0.00592300098716683
Lang,7,developer,last,hybrid,barinel,tests,type+message+location,constant,max,0.112072575017446,0.792694965449161
Lang,7,developer,median,hybrid,barinel,tests,type+message+location,constant,max,0.00144219585950221,0.0102007239223429
Lang,7,developer,mean,hybrid,barinel,tests,type+message+location,constant,max,0.0231681786461968,0.163869693978282
Lang,7,developer,first,hybrid,barinel,tests,type+message+location,constant,max,0.000441963247266806,0.00312602829878249
Lang,7,developer,last,mbfl,barinel,tests,type+message+location,none,avg,0.112072575017446,0.792694965449161
Lang,7,developer,median,mbfl,barinel,tests,type+message+location,none,avg,0.000860665270993254,0.00608752879236591
Lang,7,developer,mean,mbfl,barinel,tests,type+message+location,none,avg,0.0231030472202838,0.163409016123725
Lang,7,developer,first,mbfl,barinel,tests,type+message+location,none,avg,0.000860665270993254,0.00608752879236591
Lang,7,developer,last,mbfl,barinel,tests,type+message+location,none,max,0.112072575017446,0.792694965449161
Lang,7,developer,median,mbfl,barinel,tests,type+message+location,none,max,0.00144219585950221,0.0102007239223429
Lang,7,developer,mean,mbfl,barinel,tests,type+message+location,none,max,0.0231681786461968,0.163869693978282
